Name,Uses,Description
Hibiscus Rosa-sinensis,"The plant is known to be beneficial in treating wounds, inflammation, fever, coughs,hair loss, and gastric ulcers.",Leaves and flowers can be used as a hair growth promoter and to prevent premature graying and to treat scalp disorders.The decoction of root can be used to treat venereal diseases.
Jasminum (Jasmine),"It is used to treat corns and ear discharges, depression, nervous tension, impotence, frigidity, menstrual disorders and weak digestion.","Leaf juice is applied to corns and ear discharges.Essential oil is used in the treatment of depression, nervous tension, impotence, frigidity, menstrual disorders and weak digestion."
Mangifera Indica (Mango),Mangoes are used to relieve from heat strokes.,"The juice of the tree is a restorative tonic and can relieve heat strokes.The leaves are considered to be nutritious, hence they are used to make tea and supplements."
Mentha (Mint),"It is used to make peppermint,spearmint and wildmint.","Peppermint is used to manage digestive problems, nausea, headaches, and other health issues.Spearmint ican be used as insecticide.Wildmint helps in descending the menstrual blood."
Moringa Oleifera (Drumstick),Drumsticks increases the quality and quantity of sperms and strengthens the male reproductive system.,Drumstick fruit strengthens male reproductive system.Moringa is associated with a stronger immune system and lower the risk of diabetis and cancer.It also helps in weight loss.
Muntingia Calabura (Jamaica cherry ),The flowers are used as an antiseptic and to treat abdominal cramps and spasms. It is also taken to relieve headaches and colds. Muntingia calabura fruits possess antioxidant property.,The fruits are commonly called Jamaican cherry and are red in colour.
Murraya Koenigii(Curry),". It is extensively used in the treatment of anemia, diabetes, indigestion, obesity, kidney problems, hair and skin problems.","Shrub up to 2.5 m tall. Compound, odd-pinnate 30 cm-long leaves are composed of 11-21 shiny, dark green, lance-shaped leaflets (4.9 cm long, 1.8 cm wide)."
Nerium Oleander(Oleander),"Oleander has traditionally been used in the treatment of cardiac illness, asthma, diabetes mellitus, corns, scabies, cancer, and epilepsy, and in wound healing as an antibacterial/antimicrobial.",Oleander is an evergreen shrub with thick and pointy leaves arranged in pairs or whorls of 3 along the stem.
Nyctanthes Arbor-tristis (Parijata),It is used as a laxative for treating constipation and treat snake bytes. It helps in sclap recovery and hairfall treatment too.,"Grey-coloured, rough and flaky bark. Hairy and rough green leaves, decussately and simple, margin entire, measuring about 6 - 12 cm long and 2 - 6.5 cm wide."
Ocimum Tenuiflorum (Tulsi),"Tulsi has adaptogenic, cardio protective, analgesic, immune enhancing, anti-fertility, anticancer, and anti-diabetic, antifungal, anti-allergic, antimicrobial, antibacterial and antispasmodic actions.",t has an erect growth form which is highly branched. Leaves are broadly elliptical with a slightly toothed leaf margin
Piper Betle (Betel),"prevents halitosis, improves vocalization, and strengthens gum, treat indigestion, constipation, congestion, coughs and asthma.","Piper betle, known as Betel or Sireh is a climbing vine with glossy, heart-shaped leaves."
Plectranthus Amboinicus (Mexican Mint),"The leaves are strongly flavoured. The herb is used as a substitute for oregano to mask the strong odors and flavors of fish, mutton, and goat. Fresh leaves are used to scent laundry and hair. In the southern Indian state of Karnataka, it is batter fried to make pakodas.","A member of the mint family Lamiaceae, Coleus amboinicus grows up to 1 m (3.3 ft) tall. The stem is fleshy, about 30-90 cm (12-35 in), either with long rigid hairs (hispidly villous) or densely covered with soft, short and erect hairs (tomentose). Old stems are smooth (glabrescent).Leaves are 5-7 cm (2.0-2.8 in) by 4-6 cm (1.6-2.4 in), fleshy, undivided (simple), broad, egg/oval-shaped with a tapering tip (ovate). The margins are coarsely crenate to dentate-crenate except in the base. They are thickly studded with hairs (pubescent), with the lower surface possessing the most numerous glandular hairs, giving a frosted appearance. The petiole is 2-4.5 cm (0.79-1.77 in)."
Pongamia Pinnata (Pongame Oiltree),"Pongamia pinnata seeds generally contain oil (27-39%), protein (17-37%), starch (6-7%), crude fiber (5-7%), moisture (15-20%) and ash content (2-3%). Nearly half of the oil content of P. pinnata seeds is oleic acid. Oil made from the seeds, known as pongamia oil, has been used as lamp oil, in soapmaking, and as a lubricant. The oil has a high content of triglycerides, and its disagreeable taste and odor are due to bitter flavonoid constituents, including karanjin, pongamol, tannin, and karanjachromene.","Pongamia pinnata is a legume tree that grows to about 15-25 m (50-80 ft) in height with a large canopy that spreads equally wide. It may be deciduous for short periods. It has a straight or crooked trunk, 50-80 cm (20-30 in) in diameter, with grey-brown bark, which is smooth or vertically fissured. Its wood is white colored."
Psidium Guajava (Common Guava),"Psidium guajava has been used in traditional medicine by many cultures throughout Central America, the Caribbean, Africa, and Asia. It is used for inflammation, diabetes, hypertension, caries, wounds, pain relief, fever, diarrhea, rheumatism, lung diseases, and ulcers.","Widely cultivated in tropical and subtropical regions around the world, guava fruits can range in size from as small as an apricot to as large as a grapefruit. Various cultivars have white, pink, or red flesh; a few varieties feature red (instead of green or yellow) skin."
Punica Granatum (Pomegranate),"Pomegranate juice can be sweet or sour, but most fruits are moderate in taste, with sour notes from the acidic ellagitannins contained in the juice. Pomegranate juice has long been a popular drink in Europe and the Middle East, and is now widely distributed in the United States and Canada.","A shrub or small tree growing 5 to 10 m (16 to 33 ft) high, the pomegranate has multiple spiny branches and is long-lived, with some specimens in France surviving for 200 years. P. granatum leaves are opposite or subopposite, glossy, narrow oblong, entire, 3-7 cm (1+1?4-2+3?4 in) long and 2 cm (3?4 in) broad. The flowers are bright red and 3 cm (1+1?4 in) in diameter, with three to seven petals. Some fruitless varieties are grown for the flowers alone."
Santalum Album (Indian Sandalwood),"S. album has been the primary source of sandalwood and the derived oil. These often hold an important place within the societies of its naturalised distribution range. The central part of the tree, the heartwood, is the only part of the tree that is used for its fragrance. It is yellow-brown in color, hard with an oily texture and due to its durability, is the perfect material for carving. The outer part of the tree, the sapwood, is unscented. The sapwood is white or yellow in color and is used to make turnery items. The high value of sandalwood has led to attempts at cultivation, this has increased the distribution range of the plant.","Santalum album is an evergreen tree that grows between 4-9 metres (13-30 feet). The tree is variable in habit, usually upright to sprawling, and may intertwine with other species. The plant parasitises the roots of other tree species, with a haustorium adaptation on its own roots, but without major detriment to its hosts."
Syzygium Cumini (Java Pulm),"Raw fruit is 83% water, 16% carbohydrates, 1% protein, and contains negligible fat. In a 100 gram reference amount, the raw fruit provides 60 calories, a moderate content of vitamin C, and no other micronutrients in appreciable amounts","As a rapidly growing species, it can reach heights of up to 30 m (100 ft) and can live more than 100 years. Its dense foliage provides shade and is grown just for its ornamental value. At the base of the tree, the bark is rough and dark grey, becoming lighter grey and smoother higher up. The wood is water resistant after being kiln-dried."
Syzygium Jambos (Rose Apple),"Rich in vitamin C, the fruit can be eaten raw or cooked in various regional recipes. In South-East Asian countries, rose apple fruit is frequently served with spiced sugar. The wood is dense and accordingly is used as a source of charcoal. The tree is variously rich in tannins that are of some antimicrobial interest. Some parts of the tree are used in regional traditional medicine.","Syzygium jambos is a large shrub or small-to-medium-sized tree, typically 3 to 15 metres (10 to 49 feet) high, with a tendency to low branching. Its leaves and twigs are glabrous and the bark, though dark brown, is fairly smooth too, with little relief or texture. The leaves are lanceolate, 2 to 4 centimetres (3?4 to 1+5?8 inches) broad, 10 to 20 cm (4 to 8 in) long, pointed, base cuneate with hardly any petiole, lively red when growing, but dark, glossy green on attaining full size. The flowers are in small terminal clusters, white or greenish white, the long, numerous stamens giving them a diameter of 5-8 cm (2-3+1?4 in). In temperate regions the tree is summer-flowering."
Tabernaemontana Divaricata (Crape Jasmine),"The white five-petaled pinwheel flowers bloom in small clusters on the stem tips. When broken, the stem exudes a milky latex that is toxic. However, in prescribed quantities, parts of the plant are used to treat a variety of ailments. The root is used to treat hypertension, headaches, scabies, and toothaches.","The plant generally grows to a height of 1.5-1.8 metres (5-6 ft) and is dichotomously branched. The large shiny leaves are deep green and about 15 cm (6 in) in length and 5 cm (2 in) in width. The waxy blossoms are found in small clusters on the stem tips. The (single) flowers have the characteristic 'pinwheel' shape also seen in other genera in the family Apocynaceae such as Vinca and Nerium. Both single and double-flowered forms are cultivated, the flowers of both forms being white. The plant blooms in spring but flowers appear sporadically all year. The flowers have a pleasing fragrance."
Trigonella Foenum-graecum (Fenugreek),"Fenugreek is used as a herb (dried or fresh leaves), spice (seeds), and vegetable (fresh leaves, sprouts, and microgreens). Sotolon is the chemical responsible for the distinctive maple syrup smell of fenugreek.","In a 100 gram reference amount, fenugreek seeds provide 1,350 kilojoules (323 kcal) of food energy and contain 9% water, 58% carbohydrates, 23% protein, and 6% fat, with calcium at 40% of the Daily Value (DV, table). Fenugreek seeds (per 100 grams) are a rich source of protein (46% DV), dietary fiber, B vitamins, and dietary minerals, particularly manganese (59% DV) and iron (262% DV) (table)."
